Date,HYUNDAI_MOBILE,SAMSUNG,LG,BTC-USD,GC=F
2017-04-20,141500.0,40280.0,71100.0,1229.0799560546875,1281.9000244140625
2017-04-21,141500.0,40760.0,71000.0,1222.050048828125,1287.4000244140625
2017-04-22,,,,1231.7099609375,
2017-04-23,,,,1207.2099609375,
2017-04-24,141500.0,41240.0,71700.0,1250.1500244140625,1275.800048828125
2017-04-25,144500.0,42700.0,72200.0,1265.489990234375,1265.5999755859375
2017-04-26,151000.0,42800.0,72700.0,1281.0799560546875,1262.0999755859375
2017-04-27,147000.0,43840.0,72300.0,1317.72998046875,1263.699951171875
2017-04-28,144000.0,44620.0,69100.0,1316.47998046875,1266.0999755859375
2017-04-29,,,,1321.7900390625,
2017-04-30,,,,1347.8900146484375,
2017-05-01,,,,1421.5999755859375,1253.300048828125
2017-05-02,151000.0,44900.0,70400.0,1452.8199462890625,1255.0999755859375
2017-05-03,,,,1490.0899658203125,1246.4000244140625
2017-05-04,152000.0,45520.0,71700.0,1537.6700439453125,1226.5
2017-05-05,,,,1555.449951171875,1224.800048828125
2017-05-06,,,,1578.800048828125,
2017-05-07,,,,1596.7099609375,
2017-05-08,158000.0,47020.0,77000.0,1723.3499755859375,1225.300048828125
2017-05-09,,,,1755.3599853515625,1214.300048828125
2017-05-10,156500.0,45600.0,76300.0,1787.1300048828125,1217.300048828125
2017-05-11,157500.0,45500.0,79800.0,1848.5699462890625,1222.699951171875
2017-05-12,155000.0,45820.0,81200.0,1724.239990234375,1226.199951171875
2017-05-13,,,,1804.9100341796875,
2017-05-14,,,,1808.9100341796875,
2017-05-15,154000.0,46100.0,81000.0,1738.4300537109375,1228.5999755859375
2017-05-16,157500.0,46380.0,79000.0,1734.449951171875,1235.0
2017-05-17,158500.0,46340.0,80000.0,1839.0899658203125,1257.5
2017-05-18,165000.0,45940.0,79100.0,1888.6500244140625,1251.699951171875
2017-05-19,170000.0,44720.0,81400.0,1987.7099609375,1252.699951171875
2017-05-20,,,,2084.72998046875,
2017-05-21,,,,2041.199951171875,
2017-05-22,170000.0,45100.0,81600.0,2173.39990234375,1260.699951171875
2017-05-23,170000.0,44920.0,81100.0,2320.419921875,1254.800048828125
2017-05-24,164000.0,44880.0,82300.0,2443.639892578125,1252.4000244140625
2017-05-25,165000.0,45680.0,82300.0,2304.97998046875,1255.800048828125
2017-05-26,163500.0,46080.0,81900.0,2202.419921875,1267.5999755859375
2017-05-27,,,,2038.8699951171875,
2017-05-28,,,,2155.800048828125,
2017-05-29,162000.0,45620.0,83500.0,2255.610107421875,
2017-05-30,164000.0,44640.0,83500.0,2175.469970703125,1262.0999755859375
2017-05-31,163000.0,44700.0,82500.0,2286.409912109375,1272.0
2017-06-01,165500.0,44680.0,81300.0,2407.8798828125,1267.0
2017-06-02,163000.0,45960.0,86600.0,2488.550048828125,1276.800048828125
2017-06-03,,,,2515.35009765625,
2017-06-04,,,,2511.81005859375,
2017-06-05,161500.0,45940.0,87300.0,2686.81005859375,1279.300048828125
